account_id,observation_date,is_churn,total_events,uniq_prod_ct,total_freebies,pct_reading,pct_downloads_per_book,readingownedbook,ebookdownloaded,readingfreepreview,highlightcreated,freecontentcheckout,readingopenchapter,producttoclivebooklinkopened,livebooklogin
02a6acbc49149ffa4c1b8b81761c6cb7,2020-03-01,False,83,13,1,0.81927710843373493976,0E-20,68,0,1,0,0,0,5,1
02ac0682da022428822cdec73d295e3b,2020-03-01,False,7,3,1,0.42857142857142857143,0E-20,3,0,1,0,0,0,1,1
02adcd46820ccdc29d25807be2728aef,2020-03-01,True,22,2,0,0.63636363636363636364,0E-20,14,0,0,4,0,0,0,1
02b26022e9c240d97dbb43843d25101a,2020-03-01,True,43,3,0,0.60465116279069767442,1.00000000000000000000,26,3,0,10,0,0,0,1
02b29140af48eb6594d7702880288486,2020-03-01,True,11,1,0,1.00000000000000000000,0E-20,11,0,0,0,0,0,0,0
02b48d20a67aa156809d0e41a7d28e72,2020-03-01,False,181,11,7,0.83977900552486187845,0.27272727272727272727,152,3,1,0,5,1,1,3
02b51c190e1c5ba669e283e06ea9cc03,2020-03-01,True,25,2,0,0.80000000000000000000,0.50000000000000000000,20,1,0,0,0,0,0,2
02c1dddf54065a8896db510c0d6acdd4,2020-03-01,False,35,5,1,0.91428571428571428571,0E-20,32,0,0,0,1,0,0,1
02c899154696f6de0706902d8257e116,2020-03-01,False,133,19,59,0.20300751879699248120,0.26315789473684210526,27,5,9,0,2,48,9,2
02d0366df56f8ae848afe091d7a2f8ab,2020-03-01,True,8,1,0,0.87500000000000000000,1.00000000000000000000,7,1,0,0,0,0,0,0
02d0ae22b6b10dee3fb5e009ba6aad64,2020-03-01,False,16,9,0,0.25000000000000000000,0.33333333333333333333,4,3,0,0,0,0,0,1
02d1682499dcdcde80bbc59e9a3f9a58,2020-03-01,True,12,1,0,0.91666666666666666667,1.00000000000000000000,11,1,0,0,0,0,0,0
02d43fdb92a535b8d78336b820bfeee0,2020-03-01,True,41,4,3,0.80487804878048780488,0E-20,33,0,1,0,1,1,0,3
02d796bfb1ab131efd76050ff25865b6,2020-03-01,True,16,1,0,1.00000000000000000000,0E-20,16,0,0,0,0,0,0,0
02db0eadf39bff285a8bbb9695270ef5,2020-03-01,True,56,2,0,0.41071428571428571429,1.5000000000000000,23,3,0,0,0,0,0,3
02dbde2a01d55a62edb77b9d0904bfb4,2020-03-01,False,26,13,4,0.34615384615384615385,0.69230769230769230769,9,9,2,0,2,0,3,1
02e0561f37d8f6be8c2a6e70a834b838,2020-03-01,True,4,2,0,0.75000000000000000000,0E-20,3,0,0,0,0,0,0,1
02e113fc9f6a9ec1f1e4819023350cb9,2020-03-01,False,22,3,3,0.77272727272727272727,0.33333333333333333333,17,1,3,0,0,0,0,0
02ee67a9320dcf2c761f4d9945f72b65,2020-03-01,True,15,3,2,0.26666666666666666667,0.33333333333333333333,4,1,0,0,0,2,0,1
02f21448d70319fddf6a6e4409675e5f,2020-03-01,False,12,2,1,0.83333333333333333333,0.50000000000000000000,10,1,0,0,1,0,0,0
